assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
0.11,0.71,72.9,2.8,58.3%,0.98,67.2%,0.97,0.68,79,19,Kazakhstan,18549,laser,1.0,2093,0.10,0.09,1477,1433
0.12,0.7,76.7,4.1,53.0%,1.12,69.1%,1.01,0.71,189,23,Australia,16531,tensai,1.06,4857,0.11,0.11,3404,3455
0.17,0.66,88.8,3.8,19.8%,1.33,74.8%,1.23,0.81,5,-,Brazil,17334,Seris,1.28,131,0.14,0.11,86,106
0.06,0.69,54.5,3.0,31.1%,0.44,68.7%,0.79,0.54,3,31,Australia,14508,deefekt,0.76,83,0.06,0.07,57,45
0.14,0.74,60.7,2.8,32.4%,0.76,65.9%,0.76,0.56,5,-,Korea,11666,fAwn,0.82,132,0.14,0.13,98,74
0.15,0.63,95.5,7.7,40.2%,1.45,78.0%,1.26,0.79,14,-,Algeria,10480,MLK,1.17,355,0.11,0.13,223,281
0.0,0.67,-,-,5.6%,-,-,1.16,0.78,6,-,Poland,316,myth,1.13,138,-,-,93,108
0.14,0.69,74.7,6.4,48.3%,0.95,69.8%,0.95,0.66,131,30,Canada,4835,vEz,0.95,3388,0.09,0.10,2351,2239
0.11,0.79,-,-,77.1%,-,-,0.61,0.49,3,-,United States,9831,a2e,0.7,72,-,-,57,35
0.02,0.93,-,-,50.0%,-,-,0.36,0.33,2,-,Canada,9593,jgrant,0.38,42,-,-,39,14
0.17,0.69,52.8,6.1,42.1%,0.74,62.1%,0.47,0.33,2,-,Germany,18730,Dr.jill,0.74,58,0.07,0.09,40,19
0.14,0.67,75.3,4.0,40.2%,1.05,69.8%,1.0,0.67,288,29,Norway,646,kalle,1.05,7551,0.09,0.10,5030,5052
0.11,0.7,80.6,3.2,48.3%,1.22,67.7%,1.12,0.79,19,20,Azerbaijan,18518,EmilShe1n,1.12,533,0.10,0.10,374,420
0.17,0.67,66.4,0.0,35.7%,0.60,53.3%,0.7,0.47,1,-,Korea,17716,Z3RO,0.75,30,0.07,0.13,20,14
0.16,0.76,76.1,0.2,44.4%,1.07,67.7%,0.86,0.66,4,22,Lithuania,14191,Jegamix,1.0,96,0.06,0.15,73,63
0.14,0.72,-,-,7.4%,-,-,1.29,0.93,1,-,Finland,10467,Logu,1.2,29,-,-,21,27
0.11,0.91,80.5,2.1,39.5%,1.14,59.3%,0.88,0.8,2,18,India,20014,tryst,0.95,54,0.09,0.09,49,43
0.17,1.0,31.5,1.6,0.0%,0.08,27.8%,0.11,0.11,1,25,Mongolia,12531,Chompo,0.16,18,0.00,0.06,18,2
0.11,0.74,75.9,2.5,50.6%,0.92,68.4%,0.94,0.69,23,28,Brazil,10837,HEL,0.99,637,0.12,0.10,469,441
0.14,0.67,75.7,3.3,38.3%,1.13,68.3%,1.06,0.71,15,21,Pakistan,12200,Storax,1.07,397,0.09,0.09,265,282
0.12,0.65,67.7,2.3,37.6%,0.80,78.1%,1.04,0.68,7,-,Singapore,17836,kimmy,1.03,196,0.11,0.10,128,133
